timestamp, orientation_x, orientation_y, joystick_action, joystick_state, ball_x, ball_y, ball_z
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 10, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.97222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.91667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.83333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.72222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.58333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.41667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9.22222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 9, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 8.75, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 8.47222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 8.16667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 7.83333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 7.47222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 7.08333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 6.66667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 6.22222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 5.75, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 5.25, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 4.72222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 4.16667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 3.58333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 2.97222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 2.33333, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 1.66667, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 1.07778, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, 0, 1.16222, 0
"Fri Sep 15 23:00:29 2023
", 0, 0, null, null, -3.1859e-07, 1.22978, -3.1859e-07
