timestamp, orientation_x, orientation_y, joystick_action, joystick_state
"Sat Sep 16 10:54:05 2023
", -5.90, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.90, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.90, 1.70, none, none
"Sat Sep 16 10:54:05 2023
", -5.91, 1.70, none, none
"Sat Sep 16 10:54:05 2023
", -5.91, 1.70, none, none
"Sat Sep 16 10:54:05 2023
", -5.92, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.92, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.92, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.92, 1.70, none, none
"Sat Sep 16 10:54:05 2023
", -5.92, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.70, none, none
"Sat Sep 16 10:54:05 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:05 2023
", -5.93, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.71, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.70, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:06 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.94, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.94, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.93, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.92, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.67, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.90, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.90, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.68, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.91, 1.69, none, none
"Sat Sep 16 10:54:07 2023
", -5.90, 1.72, none, none
"Sat Sep 16 10:54:07 2023
", -5.76, 1.80, none, none
"Sat Sep 16 10:54:07 2023
", -6.19, 1.95, none, none
"Sat Sep 16 10:54:07 2023
", -7.00, 2.42, none, none
"Sat Sep 16 10:54:07 2023
", -8.28, 2.91, none, none
"Sat Sep 16 10:54:07 2023
", -8.14, 2.89, none, none
"Sat Sep 16 10:54:07 2023
", -6.44, 2.09, none, none
"Sat Sep 16 10:54:07 2023
", -4.84, 2.52, none, none
"Sat Sep 16 10:54:07 2023
", -5.47, 2.42, none, none
"Sat Sep 16 10:54:07 2023
", -6.03, 2.77, none, none
"Sat Sep 16 10:54:07 2023
", -6.05, 2.78, none, none
"Sat Sep 16 10:54:07 2023
", -6.06, 2.78, none, none
"Sat Sep 16 10:54:07 2023
", -6.07, 2.76, none, none
"Sat Sep 16 10:54:07 2023
", -6.06, 2.74, none, none
"Sat Sep 16 10:54:07 2023
", -6.06, 2.71, none, none
"Sat Sep 16 10:54:07 2023
", -6.04, 2.68, none, none
"Sat Sep 16 10:54:07 2023
", -6.04, 2.66, none, none
"Sat Sep 16 10:54:07 2023
", -6.05, 2.67, none, none
"Sat Sep 16 10:54:07 2023
", -5.82, 2.62, none, none
"Sat Sep 16 10:54:07 2023
", -5.65, 3.13, none, none
"Sat Sep 16 10:54:07 2023
", -5.31, 3.27, none, none
"Sat Sep 16 10:54:07 2023
", -5.25, 3.23, none, none
"Sat Sep 16 10:54:07 2023
", -4.82, 3.10, none, none
"Sat Sep 16 10:54:07 2023
", -4.48, 1.89, none, none
"Sat Sep 16 10:54:07 2023
", -4.53, 1.42, none, none
"Sat Sep 16 10:54:07 2023
", -4.61, 1.49, none, none
"Sat Sep 16 10:54:07 2023
", -5.42, 1.82, none, none
"Sat Sep 16 10:54:07 2023
", -6.82, 1.61, none, none
"Sat Sep 16 10:54:07 2023
", -8.36, 1.16, none, none
"Sat Sep 16 10:54:08 2023
", -8.42, 0.97, none, none
"Sat Sep 16 10:54:08 2023
", -7.05, 1.28, none, none
"Sat Sep 16 10:54:08 2023
", -5.87, 2.23, none, none
"Sat Sep 16 10:54:08 2023
", -5.43, 3.13, none, none
"Sat Sep 16 10:54:08 2023
", -5.20, 3.43, none, none
"Sat Sep 16 10:54:08 2023
", -5.06, 3.41, none, none
"Sat Sep 16 10:54:08 2023
", -5.12, 1.67, none, none
"Sat Sep 16 10:54:08 2023
", -5.49, -0.50, none, none
"Sat Sep 16 10:54:08 2023
", -5.87, -2.63, none, none
"Sat Sep 16 10:54:08 2023
", -6.12, -3.81, none, none
"Sat Sep 16 10:54:08 2023
", -6.02, -4.68, none, none
"Sat Sep 16 10:54:08 2023
", -5.99, -6.62, none, none
"Sat Sep 16 10:54:08 2023
", -6.32, -7.98, none, none
"Sat Sep 16 10:54:08 2023
", -6.13, -8.80, none, none
"Sat Sep 16 10:54:08 2023
", -5.57, -8.73, none, none
"Sat Sep 16 10:54:08 2023
", -6.36, -7.30, none, none
"Sat Sep 16 10:54:08 2023
", -6.98, -4.58, none, none
"Sat Sep 16 10:54:08 2023
", -6.73, -2.15, none, none
"Sat Sep 16 10:54:08 2023
", -6.39, -0.11, none, none
"Sat Sep 16 10:54:08 2023
", -5.44, 1.72, none, none
"Sat Sep 16 10:54:08 2023
", -3.63, 3.64, none, none
"Sat Sep 16 10:54:08 2023
", -4.28, 6.42, none, none
"Sat Sep 16 10:54:08 2023
", -4.54, 8.55, none, none
"Sat Sep 16 10:54:08 2023
", -3.88, 9.02, none, none
"Sat Sep 16 10:54:08 2023
", -3.18, 10.28, none, none
"Sat Sep 16 10:54:08 2023
", -2.41, 11.30, none, none
"Sat Sep 16 10:54:08 2023
", 0.09, 10.55, none, none
